Time,Clock time,Thane Up,Mulund Up,Vikhroli Up,Ghatkopar Up,Sion Dn,Ghatkopar Dn,Vikhroli Dn,Mulund Dn,Thane Dpt
6,0,15,14,10,20,20,11,12,17,-
7,60,20,16,12,25,22,13,14,19,-
8,120,22,17,12,27,24,15,16,21,-
9,180,25,20,12,32,25,16,17,22,-
10,240,24,19,11,31,24,15,16,21,-
11,300,18,17,10,23,24,15,16,21,-
12,360,18,17,12,23,24,15,16,21,-
1,420,18,17,12,23,23,14,15,20,-
2,480,18,17,12,23,25,16,17,22,-
3,540,18,17,11,23,24,15,16,21,-
4,600,18,17,10,23,24,15,16,21,-
5,660,21,20,12,26,26,17,18,22,-
6,720,21,20,12,26,30,20,19,25,-
7,780,23,23,12,29,32,22,19,25,-
8,840,21,21,11,27,30,20,17,24,-
9,900,21,21,10,27,25,15,12,19,-
Min,,15,10,7,17,17,8,10,15,-
Variance,,4,2,4,5,5,4,2,4,
